feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
HALLMARK_ADIPOGENESIS,STATE_A,STATE_B,29,19,0.48191294,0.43412328,0.48206193,0.43881343,0.67332123,0.40462795,0.89836661,9.611e-05,0.00028833
HALLMARK_ADIPOGENESIS,STATE_A,STATE_C,29,11,0.48191294,0.45604856,0.48206193,0.46336587,0.40438871,-0.04075235,0.79310345,0.05255272,0.10510544
HALLMARK_ADIPOGENESIS,STATE_B,STATE_C,19,11,0.43412328,0.45604856,0.43881343,0.46336587,-0.41626794,-0.78014354,-0.01435407,0.0642317,0.10510544
HALLMARK_ALLOGRAFT_REJECTION,STATE_A,STATE_B,29,19,0.18191019,0.27728079,0.17116047,0.28543951,-0.75317604,-0.91288566,-0.54618875,1.277e-05,3.831e-05
HALLMARK_ALLOGRAFT_REJECTION,STATE_A,STATE_C,29,11,0.18191019,0.38130565,0.17116047,0.33290997,-0.75548589,-0.98119122,-0.38557994,0.00027816,0.00055632
HALLMARK_ALLOGRAFT_REJECTION,STATE_B,STATE_C,19,11,0.27728079,0.38130565,0.28543951,0.33290997,-0.37799043,-0.78947368,0.09090909,0.09326469,0.09326469
HALLMARK_ANDROGEN_RESPONSE,STATE_A,STATE_B,29,19,0.43491079,0.35969844,0.42370284,0.36358306,0.7168784,0.48448276,0.91288566,3.279e-05,9.837e-05
HALLMARK_ANDROGEN_RESPONSE,STATE_A,STATE_C,29,11,0.43491079,0.39383533,0.42370284,0.39792641,0.39184953,-0.02194357,0.76802508,0.06038149,0.12076298
HALLMARK_ANDROGEN_RESPONSE,STATE_B,STATE_C,19,11,0.35969844,0.39383533,0.36358306,0.39792641,-0.41626794,-0.77990431,0.01435407,0.0642317,0.12076298
HALLMARK_ANGIOGENESIS,STATE_A,STATE_B,29,19,0.48000355,0.52947594,0.47347391,0.49704013,-0.19782214,-0.52813067,0.13248639,0.25493637,0.25493637
HALLMARK_ANGIOGENESIS,STATE_A,STATE_C,29,11,0.48000355,0.41347299,0.47347391,0.38303037,0.5862069,0.27272727,0.830721,0.00484751,0.00969502
HALLMARK_ANGIOGENESIS,STATE_B,STATE_C,19,11,0.52947594,0.41347299,0.49704013,0.38303037,0.72248804,0.42583732,0.93301435,0.00124774,0.00374322
HALLMARK_APICAL_JUNCTION,STATE_A,STATE_B,29,19,0.29494401,0.31344866,0.28532662,0.31508442,-0.40471869,-0.68793103,-0.07441016,0.01927709,0.03855418
HALLMARK_APICAL_JUNCTION,STATE_A,STATE_C,29,11,0.29494401,0.27384912,0.28532662,0.2629073,0.27272727,-0.09733542,0.62382445,0.19275159,0.19275159
HALLMARK_APICAL_JUNCTION,STATE_B,STATE_C,19,11,0.31344866,0.27384912,0.31508442,0.2629073,0.72248804,0.41626794,0.93301435,0.00124774,0.00374322
HALLMARK_APOPTOSIS,STATE_A,STATE_B,29,19,0.42848894,0.45251839,0.42513864,0.45290359,-0.53176044,-0.79319419,-0.23039927,0.0020839,0.0062517
HALLMARK_APOPTOSIS,STATE_A,STATE_C,29,11,0.42848894,0.46377648,0.42513864,0.44779246,-0.45454545,-0.84341693,0.00940439,0.02919078,0.05838156
HALLMARK_APOPTOSIS,STATE_B,STATE_C,19,11,0.45251839,0.46377648,0.45290359,0.44779246,-0.11961722,-0.57894737,0.33038278,0.60554879,0.60554879
