feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared
chr1p,3,59,29;19;11,1.25174142,0.53479557,0.00203244,0.0
chr1q,3,59,29;19;11,12.43272023,0.0019965,0.00203244,0.18629858
chr2p,3,59,29;19;11,8.01614322,0.0181684,0.00203244,0.10743113
chr2q,3,59,29;19;11,1.70967014,0.42535334,0.00203244,0.0
chr3p,3,59,29;19;11,3.34840981,0.18745717,0.00203244,0.02407875
chr3q,3,59,29;19;11,0.55861118,0.75630875,0.00203244,0.0
chr4p,3,59,29;19;11,5.6033546,0.06070815,0.00203244,0.06434562
chr4q,3,59,29;19;11,6.63642124,0.03621758,0.00203244,0.08279324
chr5p,3,59,29;19;11,6.41707835,0.04041561,0.00203244,0.0788764
chr5q,3,59,29;19;11,0.18779023,0.91037824,0.00203244,0.0
chr6p,3,59,29;19;11,5.23626296,0.07293902,0.00203244,0.05779041
chr6q,3,59,29;19;11,6.47215456,0.03931783,0.00203244,0.0798599
chr7p,3,59,29;19;11,8.47543645,0.0144405,0.00203244,0.11563279
chr7q,3,59,29;19;11,4.57197587,0.10167357,0.00203244,0.04592814
chr8p,3,59,29;19;11,1.47073166,0.47933007,0.00203244,0.0
chr8q,3,59,29;19;11,3.77827902,0.15120186,0.00203244,0.03175498
chr9p,3,59,29;19;11,10.2380868,0.00598174,0.00203244,0.14710869
chr9q,3,59,29;19;11,9.89828831,0.00708947,0.00203244,0.14104086
chr10p,3,59,29;19;11,4.29599859,0.11671744,0.00203244,0.04099997
chr10q,3,59,29;19;11,8.33836336,0.01546491,0.00203244,0.11318506
chr11p,3,59,29;19;11,2.04403256,0.35986861,0.00203244,0.0007863
chr11q,3,59,29;19;11,2.32683872,0.31241609,0.00203244,0.00583641
chr12p,3,59,29;19;11,6.44377176,0.03987978,0.00203244,0.07935307
chr12q,3,59,29;19;11,5.1978454,0.07435364,0.00203244,0.05710438
chr13p,3,59,29;19;11,,,,
chr13q,3,59,29;19;11,4.65779826,0.09740292,0.00203244,0.04746068
chr14p,3,59,29;19;11,,,,
chr14q,3,59,29;19;11,4.58703744,0.10091076,0.00203244,0.0461971
chr15p,3,59,29;19;11,,,,
chr15q,3,59,29;19;11,3.83157319,0.14722598,0.00203244,0.03270666
chr16p,3,59,29;19;11,2.44250683,0.29486035,0.00203244,0.00790191
chr16q,3,59,29;19;11,2.67937662,0.2619273,0.00203244,0.01213173
chr17p,3,59,29;19;11,1.82731045,0.40105559,0.00203244,0.0
chr17q,3,59,29;19;11,6.13480214,0.04654196,0.00203244,0.07383575
chr18p,3,59,29;19;11,5.16354453,0.07563983,0.00203244,0.05649187
chr18q,3,59,29;19;11,3.98175389,0.1365756,0.00203244,0.03538846
chr19p,3,59,29;19;11,6.68979052,0.03526391,0.00203244,0.08374626
chr19q,3,59,29;19;11,5.96477507,0.05067171,0.00203244,0.07079955
chr20p,3,59,29;19;11,5.33694941,0.06935794,0.00203244,0.05958838
chr20q,3,59,29;19;11,12.95884446,0.0015347,0.00203244,0.19569365
chr21p,3,59,29;19;11,,,,
chr21q,3,59,29;19;11,2.26537007,0.32216706,0.00510461,0.00473875
chr22p,3,59,29;19;11,,,,
chr22q,3,59,29;19;11,2.89012834,0.23573095,0.00510461,0.01589515
locus::VHL,3,59,29;19;11,7.06658016,0.02920866,0.00510461,0.09047465
locus::SETD2,3,59,29;19;11,5.92744387,0.05162641,0.00510461,0.07013293
locus::PBRM1,3,59,29;19;11,6.04836255,0.04859759,0.00510461,0.07229219
locus::BAP1,3,59,29;19;11,6.04836255,0.04859759,0.00510461,0.07229219
locus::JAK2,3,59,29;19;11,8.48152707,0.0143966,0.00510461,0.11574155
locus::CDKN2A,3,59,29;19;11,10.7255367,0.00468791,0.00510461,0.15581316
locus::PTEN,3,59,29;19;11,9.59931271,0.00823258,0.00876949,0.13570201
fga,3,59,29;19;11,6.54293776,0.03795064,0.03886881,0.08112389
gain_burden,3,59,29;19;11,6.53636477,0.03807557,0.03886881,0.08100651
loss_burden,3,59,29;19;11,3.42098496,0.18077674,0.18077674,0.02537473
