modality,state_id,weighted_within_minus_between,permutation_p_value,analysis_role,q_value
ct,STATE_A,0.003942612135866767,0.4506,discovery_space_diagnostic,0.8010666666666667
ct,STATE_B,-0.00538805476706615,0.3087,discovery_space_diagnostic,0.8010666666666667
ct,STATE_C,0.0011878829621311052,0.8605,discovery_space_diagnostic,0.8871
ct,STATE_D,-0.013205856051868827,0.0878,discovery_space_diagnostic,0.31232000000000004
ct,ALL,-0.0027849919068574577,0.6528,discovery_space_diagnostic,0.6528
wsi,STATE_A,0.009646207429167206,0.0976,discovery_space_diagnostic,0.31232000000000004
wsi,STATE_B,0.0008490677101740986,0.8359,discovery_space_diagnostic,0.8871
wsi,STATE_C,-0.001990405516167009,0.8689,discovery_space_diagnostic,0.8871
wsi,STATE_D,0.001602880666254941,0.8871,discovery_space_diagnostic,0.8871
wsi,ALL,0.0034631132469676133,0.3022,discovery_space_diagnostic,0.40293333333333337
rna,STATE_A,0.020945786771659106,0.0077,discovery_space_diagnostic,0.1232
rna,STATE_B,0.005915789133448181,0.3932,discovery_space_diagnostic,0.8010666666666667
rna,STATE_C,0.030099876229421167,0.0483,discovery_space_diagnostic,0.2576
rna,STATE_D,0.0033440909064331586,0.781,discovery_space_diagnostic,0.8871
rna,ALL,0.011764185335943277,0.0084,discovery_space_diagnostic,0.0168
wxs,STATE_A,0.02053759855042046,0.4338,discovery_space_diagnostic,0.8010666666666667
wxs,STATE_B,0.01623064406351942,0.5722,discovery_space_diagnostic,0.8871
wxs,STATE_C,0.006401915562008264,0.8629,discovery_space_diagnostic,0.8871
wxs,STATE_D,0.5391759746288886,0.0209,discovery_space_diagnostic,0.1672
wxs,ALL,0.07202291690466052,0.0023,discovery_space_diagnostic,0.0092
