feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
HALLMARK_ADIPOGENESIS,CORE01,CORE02,18,14,0.47897262,0.43600896,0.47751541,0.43776392,0.75396825,0.47619048,0.98412698,0.00033098,0.0033098
HALLMARK_ADIPOGENESIS,CORE01,CORE03,18,11,0.47897262,0.49152912,0.47751541,0.48950169,-0.39393939,-0.77777778,0.05050505,0.08355057,0.50130342
HALLMARK_ADIPOGENESIS,CORE01,CORE04,18,11,0.47897262,0.45604856,0.47751541,0.46336587,0.36363636,-0.11111111,0.76767677,0.11057671,0.55288355
HALLMARK_ADIPOGENESIS,CORE01,CORE05,18,5,0.47897262,0.43412328,0.47751541,0.44175206,0.4,-0.37777778,1.0,0.19893608,0.59680824
HALLMARK_ADIPOGENESIS,CORE02,CORE03,14,11,0.43600896,0.49152912,0.43776392,0.48950169,-0.76623377,-0.97402597,-0.44155844,0.00136204,0.01225836
HALLMARK_ADIPOGENESIS,CORE02,CORE04,14,11,0.43600896,0.45604856,0.43776392,0.46336587,-0.45454545,-0.81818182,0.0,0.05893221,0.47145768
HALLMARK_ADIPOGENESIS,CORE02,CORE05,14,5,0.43600896,0.43412328,0.43776392,0.44175206,-0.02857143,-0.74285714,0.68571429,0.96439628,0.96439628
HALLMARK_ADIPOGENESIS,CORE03,CORE04,11,11,0.49152912,0.45604856,0.48950169,0.46336587,0.47107438,-0.00826446,0.88429752,0.06597105,0.47145768
HALLMARK_ADIPOGENESIS,CORE03,CORE05,11,5,0.49152912,0.43412328,0.48950169,0.44175206,0.49090909,-0.16363636,1.0,0.14514652,0.58058608
HALLMARK_ADIPOGENESIS,CORE04,CORE05,11,5,0.45604856,0.43412328,0.46336587,0.44175206,0.30909091,-0.45454545,0.92727273,0.37728938,0.75457876
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE02,18,14,0.19230124,0.27426189,0.19111363,0.28342306,-0.76984127,-0.96031746,-0.5,0.00024663,0.0024663
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE03,18,11,0.19230124,0.15177651,0.19111363,0.13850983,0.31313131,-0.16186869,0.73737374,0.17041453,0.51124359
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE04,18,11,0.19230124,0.38130565,0.19111363,0.33290997,-0.75757576,-1.0,-0.39343434,0.00081243,0.00731187
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE05,18,5,0.19230124,0.29286754,0.19111363,0.29108558,-0.71111111,-0.97777778,-0.33333333,0.01509703,0.07967034
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE03,14,11,0.27426189,0.15177651,0.28342306,0.13850983,0.74025974,0.4025974,1.0,0.00198087,0.01584696
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE04,14,11,0.27426189,0.38130565,0.28342306,0.33290997,-0.4025974,-0.81818182,0.09090909,0.09497494,0.37989976
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE05,14,5,0.27426189,0.29286754,0.28342306,0.29108558,0.0,-0.65714286,0.60071429,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE04,11,11,0.15177651,0.38130565,0.13850983,0.33290997,-0.75206612,-1.0,-0.38842975,0.00312745,0.02189215
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE05,11,5,0.15177651,0.29286754,0.13850983,0.29108558,-0.78181818,-1.0,-0.41818182,0.01327839,0.07967034
HALLMARK_ALLOGRAFT_REJECTION,CORE04,CORE05,11,5,0.38130565,0.29286754,0.33290997,0.29108558,0.30909091,-0.34545455,0.85454545,0.37728938,0.75457876
HALLMARK_ANDROGEN_RESPONSE,CORE01,CORE02,18,14,0.43676558,0.34640937,0.42043186,0.35505748,0.72222222,0.3968254,0.96051587,0.00058644,0.00527796
HALLMARK_ANDROGEN_RESPONSE,CORE01,CORE03,18,11,0.43676558,0.43112883,0.42043186,0.42905535,-0.03030303,-0.45454545,0.43434343,0.9105327,1.0
HALLMARK_ANDROGEN_RESPONSE,CORE01,CORE04,18,11,0.43676558,0.39383533,0.42043186,0.39792641,0.36363636,-0.07070707,0.73737374,0.11057671,0.43884055
HALLMARK_ANDROGEN_RESPONSE,CORE01,CORE05,18,5,0.43676558,0.38733908,0.42043186,0.38745467,0.57777778,0.15555556,0.91111111,0.05539541,0.38776787
HALLMARK_ANDROGEN_RESPONSE,CORE02,CORE03,14,11,0.34640937,0.43112883,0.35505748,0.42905535,-0.83116883,-1.0,-0.55844156,0.00050838,0.0050838
HALLMARK_ANDROGEN_RESPONSE,CORE02,CORE04,14,11,0.34640937,0.39383533,0.35505748,0.39792641,-0.51948052,-0.84448052,-0.1038961,0.03058557,0.24468456
HALLMARK_ANDROGEN_RESPONSE,CORE02,CORE05,14,5,0.34640937,0.38733908,0.35505748,0.38745467,-0.51428571,-0.88642857,0.0,0.10681115,0.43884055
HALLMARK_ANDROGEN_RESPONSE,CORE03,CORE04,11,11,0.43112883,0.39383533,0.42905535,0.39792641,0.43801653,-0.04132231,0.83471074,0.08776811,0.43884055
HALLMARK_ANDROGEN_RESPONSE,CORE03,CORE05,11,5,0.43112883,0.38733908,0.42905535,0.38745467,0.6,0.12727273,1.0,0.06868132,0.41208792
HALLMARK_ANDROGEN_RESPONSE,CORE04,CORE05,11,5,0.39383533,0.38733908,0.39792641,0.38745467,0.12727273,-0.45545455,0.70909091,0.74267399,1.0
HALLMARK_ANGIOGENESIS,CORE01,CORE02,18,14,0.49168134,0.5263757,0.49015783,0.49187038,-0.07936508,-0.5,0.33333333,0.71819277,1.0
HALLMARK_ANGIOGENESIS,CORE01,CORE03,18,11,0.49168134,0.41730376,0.49015783,0.44617296,0.26262626,-0.2020202,0.66666667,0.25173733,1.0
HALLMARK_ANGIOGENESIS,CORE01,CORE04,18,11,0.49168134,0.41347299,0.49015783,0.38303037,0.75757576,0.43434343,0.95959596,0.00081243,0.0081243
HALLMARK_ANGIOGENESIS,CORE01,CORE05,18,5,0.49168134,0.52947594,0.49015783,0.51151543,-0.17777778,-0.66666667,0.35555556,0.58735772,1.0
HALLMARK_ANGIOGENESIS,CORE02,CORE03,14,11,0.5263757,0.41730376,0.49187038,0.44617296,0.32467532,-0.14285714,0.72727273,0.17983936,1.0
HALLMARK_ANGIOGENESIS,CORE02,CORE04,14,11,0.5263757,0.41347299,0.49187038,0.38303037,0.66233766,0.28571429,0.93538961,0.00569897,0.04559176
HALLMARK_ANGIOGENESIS,CORE02,CORE05,14,5,0.5263757,0.52947594,0.49187038,0.51151543,0.0,-0.48571429,0.48642857,1.0,1.0
HALLMARK_ANGIOGENESIS,CORE03,CORE04,11,11,0.41730376,0.41347299,0.44617296,0.38303037,0.30578512,-0.2231405,0.73553719,0.23721753,1.0
HALLMARK_ANGIOGENESIS,CORE03,CORE05,11,5,0.41730376,0.52947594,0.44617296,0.51151543,-0.41818182,-0.89090909,0.12727273,0.22115385,1.0
HALLMARK_ANGIOGENESIS,CORE04,CORE05,11,5,0.41347299,0.52947594,0.38303037,0.51151543,-0.89090909,-1.0,-0.56363636,0.00320513,0.02884617
