group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
STATE_A,original_shape_Elongation,17,52,0.35240415,-0.07588733,0.06561086,,,0.6914552,descriptive_secondary
STATE_A,original_shape_Flatness,17,52,0.41442313,0.00660271,0.1199095,,,0.46472014,descriptive_secondary
STATE_A,original_shape_LeastAxisLength,17,52,-0.41372398,0.16908583,-0.35746606,,,0.0282865,descriptive_secondary
STATE_A,original_shape_MajorAxisLength,17,52,-0.27733045,0.0,-0.15384615,,,0.34722712,descriptive_secondary
STATE_A,original_shape_Maximum2DDiameterColumn,17,52,-0.41564859,0.0,-0.31221719,,,0.05552097,descriptive_secondary
STATE_A,original_shape_Maximum2DDiameterRow,17,52,-0.55295208,0.02991094,-0.38914027,,,0.01692887,descriptive_secondary
STATE_A,original_shape_Maximum2DDiameterSlice,17,52,-0.33240314,-0.1026349,-0.07466063,,,0.6508486,descriptive_secondary
STATE_A,original_shape_MeshVolume,17,52,-0.23275302,0.01882546,-0.40497738,,,0.01292866,descriptive_secondary
STATE_A,original_shape_MinorAxisLength,17,52,-0.52415724,0.05953906,-0.3959276,,,0.01509774,descriptive_secondary
STATE_A,original_shape_Sphericity,17,52,0.50147247,0.0141963,0.25113122,,,0.12385696,descriptive_secondary
STATE_A,original_shape_SurfaceVolumeRatio,17,52,0.07760035,-0.02727724,0.15384615,,,0.34722712,descriptive_secondary
STATE_A,original_firstorder_10Percentile,17,52,0.30166278,-0.14574162,0.18099548,,,0.26825538,descriptive_secondary
STATE_A,original_firstorder_90Percentile,17,52,0.38598544,-0.09730314,0.26470588,,,0.10473095,descriptive_secondary
STATE_A,original_firstorder_Energy,17,52,-0.38260703,0.03201644,-0.39366516,,,0.01568774,descriptive_secondary
STATE_A,original_firstorder_InterquartileRange,17,52,-0.25446236,-0.07712448,0.03167421,,,0.85087957,descriptive_secondary
STATE_A,original_firstorder_Kurtosis,17,52,0.08739322,-0.13322993,0.04977376,,,0.76463374,descriptive_secondary
STATE_A,original_firstorder_Maximum,17,52,-0.00119061,0.04240701,0.0520362,,,0.75403215,descriptive_secondary
STATE_A,original_firstorder_Mean,17,52,0.31792686,-0.08687585,0.23303167,,,0.15347065,descriptive_secondary
STATE_A,original_firstorder_Minimum,17,52,-0.37086539,-0.17331175,-0.00452489,,,0.98333462,descriptive_secondary
STATE_A,original_firstorder_Range,17,52,0.0494503,-0.0,0.01809955,,,0.9168183,descriptive_secondary
STATE_A,original_firstorder_Skewness,17,52,-0.44389312,-0.04065715,-0.21266968,,,0.19289989,descriptive_secondary
STATE_A,original_firstorder_Uniformity,17,52,-0.21981826,0.0,-0.16742081,,,0.30605484,descriptive_secondary
STATE_A,original_firstorder_Variance,17,52,-0.22111502,-0.19342519,0.11538462,,,0.48190288,descriptive_secondary
STATE_A,original_glcm_Correlation,17,52,-0.08876699,-0.08038213,0.01357466,,,0.93894886,descriptive_secondary
STATE_A,original_glcm_Idmn,17,52,-0.05406019,0.0325002,-0.11764706,,,0.47326861,descriptive_secondary
STATE_A,original_glcm_Idn,17,52,-0.14543446,0.20256146,-0.2081448,,,0.20259362,descriptive_secondary
STATE_A,original_glcm_Imc1,17,52,0.27078077,0.1900546,0.1199095,,,0.46472014,descriptive_secondary
STATE_A,original_glrlm_LongRunHighGrayLevelEmphasis,17,52,-0.30366547,0.12179588,-0.30090498,,,0.06501592,descriptive_secondary
STATE_A,original_glrlm_LowGrayLevelRunEmphasis,17,52,-0.13859393,0.04127762,-0.30542986,,,0.0610684,descriptive_secondary
STATE_A,original_glrlm_RunEntropy,17,52,-0.24140263,-0.01037226,-0.11538462,,,0.48190288,descriptive_secondary
STATE_A,original_glrlm_RunLengthNonUniformity,17,52,-0.47267924,0.02904905,-0.36651584,,,0.02451298,descriptive_secondary
STATE_A,original_glszm_GrayLevelNonUniformity,17,52,-0.14459621,0.08751119,-0.35746606,,,0.0282865,descriptive_secondary
STATE_A,original_glszm_LargeAreaEmphasis,17,52,-0.28785599,0.0,-0.42081448,,,0.00978863,descriptive_secondary
STATE_A,original_glszm_LargeAreaHighGrayLevelEmphasis,17,52,-0.22472874,-0.00150892,-0.38235294,,,0.01895209,descriptive_secondary
STATE_A,original_glszm_SizeZoneNonUniformity,17,52,-0.21584044,0.09517915,-0.2239819,,,0.17016416,descriptive_secondary
STATE_A,original_glszm_SizeZoneNonUniformityNormalized,17,52,0.39748143,-0.17761576,0.38461538,,,0.01825536,descriptive_secondary
STATE_A,original_glszm_ZoneEntropy,17,52,-0.26950628,0.15519381,-0.21945701,,,0.17900492,descriptive_secondary
STATE_A,original_glszm_ZonePercentage,17,52,0.23794273,-0.08450311,0.22624434,,,0.16586842,descriptive_secondary
